sinh(-2*x)	-2*x - 4*x**3/3
-(4*x**2-2)*exp(-9*x**2/7)	2 - 46*x**2/7 + 333*x**4/49
(9*x**2/6)*cos(4*x**2-4)	3*x**2*cos(4)/2 + 6*x**4*sin(4)
-(2*x**2/3)*sin(-9*x**2)	6*x**4
-ln(-2*x**3+2)-(7*x/4)*sin(5*x-9)+exp(-5*x**2/5)	1 - log(2) + 7*x*sin(9)/4 + x**2*(-1 - 35*cos(9)/4) + x**3*(1 - 175*sin(9)/8) + x**4*(875*cos(9)/24 + 1/2)
-(8*x+8)*exp(-4*x**2-4)	-8*exp(-4) - 8*x*exp(-4) + 32*x**2*exp(-4) + 32*x**3*exp(-4) - 64*x**4*exp(-4)
(5*x**2)*tan(2*x-8)/ln(-3*x**3+3)-(3*x**3+4)*exp(4*x-2)	-4*exp(-2) - 16*x*exp(-2) + x**2*(-32*exp(-2) - 5*tan(8)/log(3)) + x**3*(-137*exp(-2)/3 + 10/log(3) + 10*tan(8)**2/log(3)) + x**4*(-164*exp(-2)/3 - 20*tan(8)/log(3) - 20*tan(8)**3/log(3))
(9*x**2+5)*tan(-8*x**2/4)/tan(7*x-8)	10*x**2/tan(8) + 10*x**3*(7*tan(8) + 7/tan(8))/tan(8) + x**4*(10*(-49*tan(8)**2 - 49 + (-7/tan(8) - 7*tan(8))**2)/tan(8) + 18/tan(8))
(6*x**2/9)*cos(8*x/8)/(6*x**2/3)*exp(-9*x**2+7)	exp(7)/3 - 19*x**2*exp(7)/6 + 1081*x**4*exp(7)/72
(8*x**2+8)*sinh(-9*x**2-1)	-8*sinh(1) + x**2*(-72*cosh(1) - 8*sinh(1)) + x**4*(-324*sinh(1) - 72*cosh(1))
tan(-9*x**3+3)	tan(3) + x**3*(-9 - 9*tan(3)**2)
-(4*x**2+7)*exp(-6*x**3/6)/exp(5*x/3)	-7 + 35*x/3 - 247*x**2/18 + 3089*x**3/162 - 37855*x**4/1944
-(8*x**2/3)*tan(-4*x-5)+tan(9*x**3-3)	-tan(3) + 8*x**2*tan(5)/3 + x**3*(9*tan(3)**2 + 59/3 + 32*tan(5)**2/3) + x**4*(128*tan(5)**3/3 + 128*tan(5)/3)
exp(-7*x**2-8)/(8*x**3/4)*cos(4*x-9)/(5*x**3-7)*tan(-7*x/3)	exp(-8)*cos(9)/(6*x**2) + 2*exp(-8)*sin(9)/(3*x) - 178*exp(-8)*cos(9)/81 + x*(-424*exp(-8)*sin(9)/81 + 5*exp(-8)*cos(9)/42) + x**2*(164989*exp(-8)*cos(9)/14580 + 10*exp(-8)*sin(9)/21) + x**3*(-890*exp(-8)*cos(9)/567 + 77053*exp(-8)*sin(9)/3645) + x**4*(-2120*exp(-8)*sin(9)/567 - 70128239*exp(-8)*cos(9)/1928934)
(6*x+2)*ln(-8*x**2+1)-(3*x**2/2)*tanh(5*x**3+3)	x**2*(-16 - 3*tanh(3)/2) - 48*x**3 - 64*x**4
-(7*x**2-9)*sin(2*x**3)/(7*x+2)*sinh(8*x+6)	9*x**3*sinh(6) + x**4*(-63*sinh(6)/2 + 72*cosh(6))
-(7*x**2+6)*tanh(3*x/4)+exp(-8*x**3+3)-(8*x**3+2)*tanh(3*x+2)	exp(3) - 2*tanh(2) + x*(-21/2 + 6*tanh(2)**2) + x**2*(-18*tanh(2)**3 + 18*tanh(2)) + x**3*(-8*exp(3) - 72*tanh(2)**2 - 8*tanh(2) + 435/32 + 54*tanh(2)**4) + x**4*(-162*tanh(2)**5 - 108*tanh(2) - 24 + 24*tanh(2)**2 + 270*tanh(2)**3)
(5*x-5)*exp(8*x**3-7)-(4*x-4)*sinh(6*x**2+6)/(6*x**2)*cosh(7*x**2+6)	2*sinh(6)*cosh(6)/(3*x**2) - 2*sinh(6)*cosh(6)/(3*x) + 14*sinh(6)**2/3 + 4*cosh(6)**2 - 5*exp(-7) + x*(-14*sinh(6)**2/3 - 4*cosh(6)**2 + 5*exp(-7)) + 169*x**2*sinh(6)*cosh(6)/3 + x**3*(-169*sinh(6)*cosh(6)/3 - 40*exp(-7)) + x**4*(40*exp(-7) + 122*cosh(6)**2 + 1099*sinh(6)**2/9)
(7*x**3+1)*exp(6*x**2-6)	exp(-6) + 6*x**2*exp(-6) + 7*x**3*exp(-6) + 18*x**4*exp(-6)
-cosh(5*x**2-2)	-cosh(2) + 5*x**2*sinh(2) - 25*x**4*cosh(2)/2
tanh(-3*x**3-4)+cos(5*x**3/8)-(9*x-3)*exp(-3*x**3/8)	4 - tanh(4) - 9*x + x**3*(-33/8 + 3*tanh(4)**2) + 27*x**4/8
(8*x**2-4)*exp(-5*x+9)	-4*exp(9) + 20*x*exp(9) - 42*x**2*exp(9) + 130*x**3*exp(9)/3 - 25*x**4*exp(9)/6
tan(7*x**3+5)-sin(-7*x**3+8)/tan(-2*x**3+4)	-sin(8)/tan(4) + tan(5) + x**3*(-(2/tan(4) + 2*tan(4))*sin(8)/tan(4) + 7*cos(8)/tan(4) + 7 + 7*tan(5)**2)
(4*x**3+6)*exp(6*x-8)/(3*x**2-2)*exp(4*x**3-1)+(8*x**2+7)*exp(4*x**3+4)	7*exp(4) - 3*exp(-9) - 18*x*exp(-9) + x**2*(-117*exp(-9)/2 + 8*exp(4)) + x**3*(-149*exp(-9) + 28*exp(4)) - 1335*x**4*exp(-9)/4
-sinh(3*x**2-7)-(6*x**3-6)*tanh(8*x**3+5)	sinh(7) + 6*tanh(5) - 3*x**2*cosh(7) + x**3*(-48*tanh(5)**2 - 6*tanh(5) + 48) + 9*x**4*sinh(7)/2
-sinh(3*x**2/7)	-3*x**2/7
-sin(8*x**3/5)	-8*x**3/5
(9*x-3)*tan(-9*x-3)/exp(5*x**2+4)/sinh(9*x**2/6)	2*exp(-4)*tan(3)/x**2 + (18*exp(-4)*tan(3)**2 - 6*exp(-4)*tan(3) + 18*exp(-4))/x + 162*exp(-4)*tan(3)**3 - 54*exp(-4)*tan(3)**2 + 152*exp(-4)*tan(3) - 54*exp(-4) + x*(1458*exp(-4)*tan(3)**4 - 486*exp(-4)*tan(3)**3 + 1854*exp(-4)*tan(3)**2 - 456*exp(-4)*tan(3) + 396*exp(-4)) + x**2*(-1188*exp(-4) + 31849*exp(-4)*tan(3)/4 - 5562*exp(-4)*tan(3)**2 + 21060*exp(-4)*tan(3)**3 - 4374*exp(-4)*tan(3)**4 + 13122*exp(-4)*tan(3)**5) + x**3*(118098*exp(-4)*tan(3)**6 - 39366*exp(-4)*tan(3)**5 + 228906*exp(-4)*tan(3)**4 - 63180*exp(-4)*tan(3)**3 + 2486853*exp(-4)*tan(3)**2/20 - 95547*exp(-4)*tan(3)/4 + 270693*exp(-4)/20) + x**4*(5395793*exp(-4)*tan(3)/15 - 812079*exp(-4)/20 - 7460559*exp(-4)*tan(3)**2/20 + 34226469*exp(-4)*tan(3)**3/20 - 686718*exp(-4)*tan(3)**4 + 2414448*exp(-4)*tan(3)**5 - 354294*exp(-4)*tan(3)**6 + 1062882*exp(-4)*tan(3)**7)
cos(-9*x**3+1)	cos(1) + 9*x**3*sin(1)
-tan(2*x**2+8)	-tan(8) + x**2*(-2*tan(8)**2 - 2) + x**4*(-4*tan(8) - 4*tan(8)**3)
(5*x**2+3)*ln(5*x**2)	x**2*(10*log(x) + 5*log(5)) + 6*log(x) + 3*log(5)
(5*x-3)*exp(7*x**2/9)	-3 + 5*x - 7*x**2/3 + 35*x**3/9 - 49*x**4/54
(6*x/2)*cos(-6*x**2/6)+sin(-7*x/5)	8*x/5 + 343*x**3/750
(9*x**2-7)*exp(5*x-8)+(3*x**3/6)*exp(-2*x**3-6)	-7*exp(-8) - 35*x*exp(-8) - 157*x**2*exp(-8)/2 + x**3*(-605*exp(-8)/6 + exp(-6)/2) - 1675*x**4*exp(-8)/24
(2*x**3-9)*ln(7*x**2+7)+sin(3*x/9)-tan(4*x+8)	-tan(8) - 9*log(7) + x*(-4*tan(8)**2 - 11/3) + x**2*(-9 - 16*tan(8) - 16*tan(8)**3) + x**3*(-64*tan(8)**4 - 256*tan(8)**2/3 - 3457/162 + 2*log(7)) + x**4*(9/2 - 512*tan(8)/3 - 1280*tan(8)**3/3 - 256*tan(8)**5)
-(9*x**3/4)*tan(9*x**3/2)/cosh(9*x**2-8)-sinh(-8*x/5)	8*x/5 + 256*x**3/375
-sin(-5*x**3-5)	sin(5) + 5*x**3*cos(5)
exp(8*x**3/9)	1 + 8*x**3/9
sin(7*x/6)-cos(2*x**2+4)	-cos(4) + 7*x/6 + 2*x**2*sin(4) - 343*x**3/1296 + 2*x**4*cos(4)
-(5*x**2/4)*tanh(-3*x**3-8)/(5*x**3+2)*cosh(-8*x**3/7)	5*x**2*tanh(8)/8
exp(8*x**2+7)+(9*x**3+6)*tan(-3*x/3)/(8*x**2+1)*cos(-5*x**3/5)	exp(7) - 6*x + 8*x**2*exp(7) + 46*x**3 + x**4*(-9 + 32*exp(7))
-tan(-4*x+9)/(2*x**2+1)*tanh(7*x**2+3)+(9*x**3-6)*exp(-8*x**3+9)	-tan(9)*tanh(3) - 6*exp(9) + x*(4*tan(9)**2*tanh(3) + 4*tanh(3)) + x**2*(7*tan(9)*tanh(3)**2 - 16*tan(9)**3*tanh(3) - 7*tan(9) - 14*tan(9)*tanh(3)) + x**3*(-28*tanh(3)**2 - 28*tan(9)**2*tanh(3)**2 + 64*tan(9)**4*tanh(3) + 28*tan(9)**2 + 40*tanh(3)/3 + 232*tan(9)**2*tanh(3)/3 + 28 + 57*exp(9)) + x**4*(98*tan(9)*tanh(3)**2 + 112*tan(9)**3*tanh(3)**2 - 256*tan(9)**5*tanh(3) - 112*tan(9)**3 - 49*tan(9)*tanh(3)**3 - 1184*tan(9)**3*tanh(3)/3 - 281*tan(9)*tanh(3)/3 - 98*tan(9))
exp(-8*x**2+3)/exp(-2*x**3-6)	exp(9) - 8*x**2*exp(9) + 2*x**3*exp(9) + 32*x**4*exp(9)
-sinh(8*x+9)	-sinh(9) - 8*x*cosh(9) - 32*x**2*sinh(9) - 256*x**3*cosh(9)/3 - 512*x**4*sinh(9)/3
-(2*x**2/2)*exp(-2*x**2-1)	-x**2*exp(-1) + 2*x**4*exp(-1)
sinh(-3*x-1)	-sinh(1) - 3*x*cosh(1) - 9*x**2*sinh(1)/2 - 9*x**3*cosh(1)/2 - 27*x**4*sinh(1)/8
(2*x**2+5)*sin(4*x**3/4)-exp(8*x/4)-(4*x**2-7)*exp(-3*x-5)	7*exp(-5) - 1 + x*(-2 - 21*exp(-5)) + x**2*(-2 + 55*exp(-5)/2) + x**3*(11/3 - 39*exp(-5)/2) + x**4*(-2/3 + 45*exp(-5)/8)
-exp(7*x**2+8)-exp(-5*x**3-3)	-exp(-3) - exp(8) - 7*x**2*exp(8) + 5*x**3*exp(-3) - 49*x**4*exp(8)/2
(3*x+9)*cosh(5*x**2-2)	9*cosh(2) + 3*x*cosh(2) - 45*x**2*sinh(2) - 15*x**3*sinh(2) + 225*x**4*cosh(2)/2
tan(-7*x**2/4)/exp(6*x**3+8)-tan(5*x**3-4)	tan(4) - 7*x**2*exp(-8)/4 + x**3*(-5*tan(4)**2 - 5)
ln(6*x**2+2)+tan(8*x+9)/(9*x**3+4)*cosh(7*x-3)	log(2) + tan(9)*cosh(3)/4 + x*(2*tan(9)**2*cosh(3) - 7*tan(9)*sinh(3)/4 + 2*cosh(3)) + x**2*(-14*sinh(3) + 177*tan(9)*cosh(3)/8 - 14*tan(9)**2*sinh(3) + 16*tan(9)**3*cosh(3) + 3) + x**3*(-9*tan(9)*cosh(3)/16 + 128*tan(9)**4*cosh(3) - 112*tan(9)**3*sinh(3) + 659*tan(9)**2*cosh(3)/3 - 3031*tan(9)*sinh(3)/24 + 275*cosh(3)/3) + x**4*(105569*tan(9)*cosh(3)/96 - 413*sinh(3) - 1309*tan(9)**2*sinh(3) + 6296*tan(9)**3*cosh(3)/3 - 896*tan(9)**4*sinh(3) + 1024*tan(9)**5*cosh(3) - 9*cosh(3)/2 + 63*tan(9)*sinh(3)/16 - 9*tan(9)**2*cosh(3)/2 - 9/2)
exp(-7*x**3)/sin(4*x-8)-tan(3*x**2-9)	tan(9) - 1/sin(8) - 4*x*cos(8)/sin(8)**2 + x**2*(-(16*cos(8)**2/sin(8)**2 + 8)/sin(8) - 3 - 3*tan(9)**2) + x**3*(7/sin(8) - (160*cos(8)/(3*sin(8)) + 64*cos(8)**3/sin(8)**3)/sin(8)) + x**4*(-(256*cos(8)**4/sin(8)**4 + 896*cos(8)**2/(3*sin(8)**2) + 160/3)/sin(8) + 28*cos(8)/sin(8)**2 + 9*tan(9) + 9*tan(9)**3)
(5*x-2)*tan(2*x-8)	2*tan(8) + x*(-4*tan(8)**2 - 4 - 5*tan(8)) + x**2*(8*tan(8)**3 + 8*tan(8) + 10 + 10*tan(8)**2) + x**3*(-16*tan(8)**4 - 64*tan(8)**2/3 - 16/3 - 20*tan(8) - 20*tan(8)**3) + x**4*(32*tan(8)**5 + 160*tan(8)**3/3 + 64*tan(8)/3 + 40/3 + 160*tan(8)**2/3 + 40*tan(8)**4)
-tan(6*x**2/8)+cosh(3*x**2/6)	1 - 3*x**2/4 + x**4/8
-exp(9*x**3+5)/(2*x-6)*cosh(8*x**3/7)-(6*x**2/9)*tan(-4*x+9)	exp(5)/6 + x*exp(5)/18 + x**2*(-2*tan(9)/3 + exp(5)/54) + x**3*(8*tan(9)**2/3 + 8/3 + 122*exp(5)/81) + x**4*(-32*tan(9)**3/3 - 32*tan(9)/3 + 122*exp(5)/243)
tan(7*x**2+5)/(2*x+6)*exp(-9*x**3+6)+ln(-8*x**2+9)	log(9) + exp(6)*tan(5)/6 - x*exp(6)*tan(5)/18 + x**2*(exp(6)*tan(5)/54 - 8/9 + 7*exp(6)/6 + 7*exp(6)*tan(5)**2/6) + x**3*(-7*exp(6)*tan(5)**2/18 - 7*exp(6)/18 - 122*exp(6)*tan(5)/81) + x**4*(49*exp(6)*tan(5)**3/6 + 4213*exp(6)*tan(5)/486 - 32/81 + 7*exp(6)/54 + 7*exp(6)*tan(5)**2/54)
sin(-8*x**3/3)+tanh(3*x**3+1)	tanh(1) + x**3*(1/3 - 3*tanh(1)**2)
-(2*x+6)*exp(5*x-2)+(2*x**3-7)*tanh(7*x**2-5)	7*tanh(5) - 6*exp(-2) - 32*x*exp(-2) + x**2*(-49 - 85*exp(-2) + 49*tanh(5)**2) + x**3*(-150*exp(-2) - 2*tanh(5)) + x**4*(-343*tanh(5) - 2375*exp(-2)/12 + 343*tanh(5)**3)
-exp(6*x**2/9)	-1 - 2*x**2/3 - 2*x**4/9
(4*x/7)*cos(-5*x/2)/(3*x+7)*exp(-7*x**2+4)	4*x*exp(4)/49 - 12*x**2*exp(4)/343 - 3897*x**3*exp(4)/4802 + 11691*x**4*exp(4)/33614
(9*x**2+6)*sinh(-6*x/3)+sin(-8*x**2+5)	sin(5) - 12*x - 8*x**2*cos(5) - 26*x**3 - 32*x**4*sin(5)
-exp(7*x**2-1)	-exp(-1) - 7*x**2*exp(-1) - 49*x**4*exp(-1)/2
-sin(3*x**2-8)+(7*x**3/5)*tan(9*x**2-2)	sin(8) - 3*x**2*cos(8) - 7*x**3*tan(2)/5 - 9*x**4*sin(8)/2
-exp(8*x**3/4)/tanh(8*x/5)+exp(-3*x**3/6)	-5/(8*x) + 1 - 8*x/15 - 5*x**2/4 - 4601*x**3/11250 - 16*x**4/15
exp(-9*x**3+9)	exp(9) - 9*x**3*exp(9)
-cos(-7*x**3/3)/(9*x**3/5)*cosh(7*x**3-7)	-5*cosh(7)/(9*x**3) + 35*sinh(7)/9 - 980*x**3*cosh(7)/81
exp(2*x**3/3)	1 + 2*x**3/3
(8*x**3+4)*exp(8*x**2+4)-(9*x**3-7)*cos(-6*x-8)+tanh(-4*x**2+3)	4*exp(4) + tanh(3) + 7*cos(8) - 42*x*sin(8) + x**2*(-4 + 4*tanh(3)**2 - 126*cos(8) + 32*exp(4)) + x**3*(-9*cos(8) + 252*sin(8) + 8*exp(4)) + x**4*(378*cos(8) - 16*tanh(3) + 16*tanh(3)**3 + 54*sin(8) + 128*exp(4))
(7*x/7)*sinh(-8*x-7)+exp(9*x**3/4)-ln(-8*x**2+8)	1 - log(8) - x*sinh(7) + x**2*(1 - 8*cosh(7)) + x**3*(9/4 - 32*sinh(7)) + x**4*(1/2 - 256*cosh(7)/3)
(7*x**2-9)*cosh(-6*x**2+4)+sinh(-4*x-2)	-sinh(2) - 9*cosh(4) - 4*x*cosh(2) + x**2*(-8*sinh(2) + 7*cosh(4) + 54*sinh(4)) - 32*x**3*cosh(2)/3 + x**4*(-162*cosh(4) - 42*sinh(4) - 32*sinh(2)/3)
tanh(-8*x**3-3)	-tanh(3) + x**3*(-8 + 8*tanh(3)**2)
tanh(8*x**3+4)	tanh(4) + x**3*(8 - 8*tanh(4)**2)
-(6*x**3+6)*tanh(6*x-6)	6*tanh(6) + x*(-36 + 36*tanh(6)**2) + x**2*(-216*tanh(6) + 216*tanh(6)**3) + x**3*(-1728*tanh(6)**2 + 6*tanh(6) + 432 + 1296*tanh(6)**4) + x**4*(-12960*tanh(6)**3 - 36 + 36*tanh(6)**2 + 5184*tanh(6) + 7776*tanh(6)**5)
tan(9*x**2/2)	9*x**2/2
-(2*x**3+8)*exp(3*x**3-2)+(5*x**3/7)*tan(-5*x-8)/(3*x/3)*exp(7*x**2)	-8*exp(-2) - 5*x**2*tan(8)/7 + x**3*(-25*tan(8)**2/7 - 25/7 - 26*exp(-2)) + x**4*(-160*tan(8)/7 - 125*tan(8)**3/7)
(4*x-2)*sinh(8*x**3-4)-(5*x**2)*tanh(7*x**3/9)	2*sinh(4) - 4*x*sinh(4) - 16*x**3*cosh(4) + 32*x**4*cosh(4)
-tanh(-2*x**3/6)	x**3/3
(6*x**3-6)*exp(8*x+5)/(7*x**2+1)*sinh(6*x**3+5)/cos(9*x**3+3)	-6*exp(5)*sinh(5)/cos(3) - 48*x*exp(5)*sinh(5)/cos(3) - 150*x**2*exp(5)*sinh(5)/cos(3) + x**3*(-54*exp(5)*sin(3)*sinh(5)/cos(3)**2 - 36*exp(5)*cosh(5)/cos(3) - 170*exp(5)*sinh(5)/cos(3)) + x**4*(74*exp(5)*sinh(5)/cos(3) - 432*exp(5)*sin(3)*sinh(5)/cos(3)**2 - 288*exp(5)*cosh(5)/cos(3))
-sinh(-8*x**2+6)+exp(5*x**3+3)-cos(-7*x+7)	exp(3) - cos(7) - sinh(6) - 7*x*sin(7) + x**2*(49*cos(7)/2 + 8*cosh(6)) + x**3*(343*sin(7)/6 + 5*exp(3)) + x**4*(-32*sinh(6) - 2401*cos(7)/24)
tan(-8*x**3/6)-(8*x**2-5)*exp(-9*x+4)	5*exp(4) - 45*x*exp(4) + 389*x**2*exp(4)/2 + x**3*(-1071*exp(4)/2 - 4/3) + 8343*x**4*exp(4)/8
exp(-9*x+3)-sinh(8*x/4)	exp(3) + x*(-9*exp(3) - 2) + 81*x**2*exp(3)/2 + x**3*(-243*exp(3)/2 - 4/3) + 2187*x**4*exp(3)/8
(5*x**3-6)*tan(5*x)	-30*x - 250*x**3 + 25*x**4
(3*x**2/4)*exp(4*x**3/6)/exp(5*x+4)-tanh(-2*x**2-1)	tanh(1) + x**2*(-2*tanh(1)**2 + 3*exp(-4)/4 + 2) - 15*x**3*exp(-4)/4 + x**4*(-4*tanh(1) + 75*exp(-4)/8 + 4*tanh(1)**3)
sin(9*x**2-1)	-sin(1) + 9*x**2*cos(1) + 81*x**4*sin(1)/2
cosh(2*x**3-9)+cos(8*x-4)	cosh(9) + cos(4) + 8*x*sin(4) - 32*x**2*cos(4) + x**3*(-2*sinh(9) - 256*sin(4)/3) + 512*x**4*cos(4)/3
exp(-7*x**2+8)	exp(8) - 7*x**2*exp(8) + 49*x**4*exp(8)/2
(7*x**2/9)*cos(-8*x**3+8)/(3*x**3-9)*sinh(-9*x**2/3)	7*x**4*cos(8)/27
(6*x/5)*ln(-2*x**2+9)/(5*x+6)*tan(8*x-5)-(5*x+1)*exp(8*x**2/8)	-1 + x*(-5 - log(9)*tan(5)/5) + x**2*(log(9)*tan(5)/6 - 1 + 8*log(9)/5 + 8*log(9)*tan(5)**2/5) + x**3*(-4*log(9)*tan(5)**2/3 - 5 - 4*log(9)/3 + 2*tan(5)/45 - 2329*log(9)*tan(5)/180 - 64*log(9)*tan(5)**3/5) + x**4*(32*log(9)*tan(5)**3/3 + 2329*log(9)*tan(5)/216 - 16*tan(5)**2/45 - 77/90 - tan(5)/27 + 1586*log(9)/45 + 6194*log(9)*tan(5)**2/45 + 512*log(9)*tan(5)**4/5)
(4*x**3+3)*tanh(-4*x/7)	-12*x/7 + 64*x**3/343 - 16*x**4/7
(6*x/6)*tan(3*x**3+9)-(3*x**3-5)*ln(5*x**2/9)	5*log(5) - 10*log(3) + 10*log(x) + x*tan(9) + x**3*(-6*log(x) - 3*log(5) + 6*log(3)) + x**4*(3*tan(9)**2 + 3)
(4*x+2)*tanh(-8*x/7)+(7*x**3+4)*sinh(-2*x**3+7)+exp(-5*x**3/8)	4*sinh(7) + 1 - 16*x/7 - 32*x**2/7 + x**3*(-8*cosh(7) + 3047/8232 + 7*sinh(7)) + 2048*x**4/1029
sin(-3*x**2-3)	-sin(3) - 3*x**2*cos(3) + 9*x**4*sin(3)/2
tan(-3*x**3-4)	-tan(4) + x**3*(-3*tan(4)**2 - 3)
(5*x**2-6)*exp(-4*x-9)+(2*x**2+8)*sinh(-7*x**3/7)+(5*x**2-7)*sin(-8*x-2)	7*sin(2) - 6*exp(-9) + x*(56*cos(2) + 24*exp(-9)) + x**2*(-229*sin(2) - 43*exp(-9)) + x**3*(-8 + 44*exp(-9) - 1912*cos(2)/3) + x**4*(-24*exp(-9) + 4064*sin(2)/3)
(6*x**3/9)*cosh(2*x**2-9)-(8*x**2-6)*cosh(3*x**3-8)-exp(-5*x-1)	6*cosh(8) - exp(-1) + 5*x*exp(-1) + x**2*(-8*cosh(8) - 25*exp(-1)/2) + x**3*(-18*sinh(8) + 125*exp(-1)/6 + 2*cosh(9)/3) - 625*x**4*exp(-1)/24
-sinh(7*x**2-7)/(8*x+6)*exp(8*x)+sinh(8*x**2+4)	sinh(7)/6 + sinh(4) + 10*x*sinh(7)/9 + x**2*(-7*cosh(7)/6 + 8*cosh(4) + 104*sinh(7)/27) + x**3*(-70*cosh(7)/9 + 736*sinh(7)/81) + x**4*(-728*cosh(7)/27 + 32*sinh(4) + 19841*sinh(7)/972)
(7*x+7)*exp(-8*x**2/8)+exp(-2*x-7)	7 + exp(-7) + x*(7 - 2*exp(-7)) + x**2*(-7 + 2*exp(-7)) + x**3*(-7 - 4*exp(-7)/3) + x**4*(2*exp(-7)/3 + 7/2)
-(8*x**3+9)*exp(-9*x**2-6)	-9*exp(-6) + 81*x**2*exp(-6) - 8*x**3*exp(-6) - 729*x**4*exp(-6)/2
-exp(4*x**2-4)	-exp(-4) - 4*x**2*exp(-4) - 8*x**4*exp(-4)
sin(5*x**3-6)/(2*x**2+7)*tan(5*x**2-9)	sin(6)*tan(9)/7 + x**2*(-2*sin(6)*tan(9)/49 - 5*sin(6)*tan(9)**2/7 - 5*sin(6)/7) - 5*x**3*cos(6)*tan(9)/7 + x**4*(10*sin(6)/49 + 10*sin(6)*tan(9)**2/49 + 25*sin(6)*tan(9)**3/7 + 1229*sin(6)*tan(9)/343)
(7*x+4)*exp(6*x/5)-sin(9*x**2-7)	4 + sin(7) + 59*x/5 + x**2*(282/25 - 9*cos(7)) + 774*x**3/125 + x**4*(1476/625 - 81*sin(7)/2)
-tan(-9*x**3+9)+sinh(9*x**2/8)	-tan(9) + 9*x**2/8 + x**3*(9*tan(9)**2 + 9)
-exp(6*x**3+9)	-exp(9) - 6*x**3*exp(9)
cosh(-8*x**2+6)	cosh(6) - 8*x**2*sinh(6) + 32*x**4*cosh(6)
(6*x**3/5)*exp(-2*x**2-9)	6*x**3*exp(-9)/5
sinh(8*x**3-4)	-sinh(4) + 8*x**3*cosh(4)
(7*x**2-5)*sinh(-7*x**2/7)/(9*x**2+2)*exp(-8*x**3-5)	5*x**2*exp(-5)/2 - 59*x**4*exp(-5)/4
(6*x+2)*sin(4*x/5)+(6*x**2+2)*exp(4*x+2)	2*exp(2) + x*(8/5 + 8*exp(2)) + x**2*(24/5 + 22*exp(2)) + x**3*(-64/375 + 136*exp(2)/3) + x**4*(-64/125 + 208*exp(2)/3)
ln(-6*x**2+5)+(3*x**2+8)*exp(7*x+8)-cosh(7*x-2)	8*exp(8) + log(5) - cosh(2) + x*(7*sinh(2) + 56*exp(8)) + x**2*(-49*cosh(2)/2 - 6/5 + 199*exp(8)) + x**3*(343*sinh(2)/6 + 1435*exp(8)/3) + x**4*(-2401*cosh(2)/24 - 18/25 + 5243*exp(8)/6)
sin(-6*x+1)	sin(1) - 6*x*cos(1) - 18*x**2*sin(1) + 36*x**3*cos(1) + 54*x**4*sin(1)
(2*x**2-8)*exp(2*x+5)	-8*exp(5) - 16*x*exp(5) - 14*x**2*exp(5) - 20*x**3*exp(5)/3 - 4*x**4*exp(5)/3
(6*x**2+3)*exp(9*x**2+5)-(8*x/7)*sinh(-4*x**2/9)/(6*x**3-9)*exp(-5*x**2+8)	3*exp(5) + 33*x**2*exp(5) - 32*x**3*exp(8)/567 + 351*x**4*exp(5)/2
exp(-9*x+2)+cos(4*x-8)-(9*x**3-4)*tan(6*x**2/7)	exp(2) + cos(8) + x*(-9*exp(2) + 4*sin(8)) + x**2*(-8*cos(8) + 24/7 + 81*exp(2)/2) + x**3*(-243*exp(2)/2 - 32*sin(8)/3) + x**4*(32*cos(8)/3 + 2187*exp(2)/8)
(6*x**3+5)*cosh(-7*x/5)/(7*x**3)*exp(3*x-6)	5*exp(-6)/(7*x**3) + 15*exp(-6)/(7*x**2) + 137*exp(-6)/(35*x) + 216*exp(-6)/35 + 21647*x*exp(-6)/2625 + 8432*x**2*exp(-6)/875 + 9828814*x**3*exp(-6)/984375 + 20842798*x**4*exp(-6)/2296875
-sinh(8*x-4)	sinh(4) - 8*x*cosh(4) + 32*x**2*sinh(4) - 256*x**3*cosh(4)/3 + 512*x**4*sinh(4)/3
-(4*x**3+6)*cosh(9*x**3-1)-cosh(5*x**2-2)	-cosh(2) - 6*cosh(1) + 5*x**2*sinh(2) + x**3*(-4*cosh(1) + 54*sinh(1)) - 25*x**4*cosh(2)/2
-(2*x/3)*exp(-7*x/4)	-2*x/3 + 7*x**2/6 - 49*x**3/48 + 343*x**4/576
(3*x**3-9)*exp(-9*x**2-2)	-9*exp(-2) + 81*x**2*exp(-2) + 3*x**3*exp(-2) - 729*x**4*exp(-2)/2
